experiment_name,fn,fnr,fp,fpr,has_ocr,image_label,input_mode,mm_label,model,negative_support,positive_support,seed,source,split,support,text_label
phobert-caption,22,0.55,0,,True,0,caption,1,phobert-base,0,40,123,threads,test,40,0
phobert-caption,24,0.7272727272727273,0,,True,0,caption,1,phobert-base,0,33,123,threads,test,33,1
phobert-caption,0,,2,0.6666666666666666,True,1,caption,0,phobert-base,3,0,123,threads,test,3,0
phobert-caption,13,0.65,0,,False,0,caption,1,phobert-base,0,20,123,threads,test,20,0
phobert-caption,0,0.0,0,,False,0,caption,1,phobert-base,0,17,123,facebook,test,17,1
phobert-caption,5,0.45454545454545453,0,,True,1,caption,1,phobert-base,0,11,123,threads,test,11,0
phobert-caption,4,0.2222222222222222,0,,True,0,caption,1,phobert-base,0,18,123,facebook,test,18,1
phobert-caption,0,,4,0.26666666666666666,True,0,caption,0,phobert-base,15,0,123,threads,test,15,1
phobert-caption,0,,4,0.5714285714285714,True,1,caption,0,phobert-base,7,0,123,facebook,test,7,0
phobert-caption,5,0.7142857142857143,0,,True,1,caption,1,phobert-base,0,7,123,threads,test,7,1
phobert-caption,0,,4,0.6666666666666666,True,0,caption,0,phobert-base,6,0,123,facebook,test,6,1
phobert-caption,0,0.0,0,,False,1,caption,1,phobert-base,0,3,123,facebook,test,3,1
phobert-caption,0,,1,0.25,False,0,caption,0,phobert-base,4,0,123,threads,test,4,1
phobert-caption,0,,0,0.0,False,0,caption,0,phobert-base,1,0,123,facebook,test,1,1
phobert-caption,0,,45,0.6617647058823529,True,0,caption,0,phobert-base,68,0,2026,facebook,test,68,0
phobert-caption,7,0.3888888888888889,0,,False,0,caption,1,phobert-base,0,18,2026,threads,test,18,1
phobert-caption,9,0.17307692307692307,0,,True,1,caption,1,phobert-base,0,52,2026,facebook,test,52,0
phobert-caption,0,,36,0.20930232558139536,True,0,caption,0,phobert-base,172,0,2026,threads,test,172,0
phobert-caption,0,,28,0.22950819672131148,False,0,caption,0,phobert-base,122,0,2026,threads,test,122,0
phobert-caption,0,,15,0.9375,False,0,caption,0,phobert-base,16,0,2026,facebook,test,16,0
phobert-caption,1,0.3333333333333333,0,,True,1,caption,1,phobert-base,0,3,2026,facebook,test,3,1
phobert-caption,6,0.11764705882352941,0,,True,0,caption,1,phobert-base,0,51,2026,facebook,test,51,0
phobert-caption,1,0.02040816326530612,0,,False,0,caption,1,phobert-base,0,49,2026,facebook,test,49,0
phobert-caption,25,0.625,0,,True,0,caption,1,phobert-base,0,40,2026,threads,test,40,0
phobert-caption,13,0.3939393939393939,0,,True,0,caption,1,phobert-base,0,33,2026,threads,test,33,1
phobert-caption,0,,0,0.0,True,1,caption,0,phobert-base,3,0,2026,threads,test,3,0
phobert-caption,10,0.5,0,,False,0,caption,1,phobert-base,0,20,2026,threads,test,20,0
phobert-caption,1,0.058823529411764705,0,,False,0,caption,1,phobert-base,0,17,2026,facebook,test,17,1
phobert-caption,5,0.45454545454545453,0,,True,1,caption,1,phobert-base,0,11,2026,threads,test,11,0
phobert-caption,3,0.16666666666666666,0,,True,0,caption,1,phobert-base,0,18,2026,facebook,test,18,1
phobert-caption,0,,8,0.5333333333333333,True,0,caption,0,phobert-base,15,0,2026,threads,test,15,1
phobert-caption,0,,4,0.5714285714285714,True,1,caption,0,phobert-base,7,0,2026,facebook,test,7,0
phobert-caption,6,0.8571428571428571,0,,True,1,caption,1,phobert-base,0,7,2026,threads,test,7,1
phobert-caption,0,,3,0.5,True,0,caption,0,phobert-base,6,0,2026,facebook,test,6,1
phobert-caption,0,0.0,0,,False,1,caption,1,phobert-base,0,3,2026,facebook,test,3,1
phobert-caption,0,,1,0.25,False,0,caption,0,phobert-base,4,0,2026,threads,test,4,1
phobert-caption,0,,0,0.0,False,0,caption,0,phobert-base,1,0,2026,facebook,test,1,1
phobert-caption,0,,48,0.7058823529411765,True,0,caption,0,phobert-base,68,0,42,facebook,test,68,0
phobert-caption,10,0.5555555555555556,0,,False,0,caption,1,phobert-base,0,18,42,threads,test,18,1
phobert-caption,6,0.11538461538461539,0,,True,1,caption,1,phobert-base,0,52,42,facebook,test,52,0
phobert-caption,0,,32,0.18604651162790697,True,0,caption,0,phobert-base,172,0,42,threads,test,172,0
phobert-caption,0,,22,0.18032786885245902,False,0,caption,0,phobert-base,122,0,42,threads,test,122,0
phobert-caption,0,,15,0.9375,False,0,caption,0,phobert-base,16,0,42,facebook,test,16,0
phobert-caption,3,1.0,0,,True,1,caption,1,phobert-base,0,3,42,facebook,test,3,1
